DSS y Ruta Materna Perinatal,Fecha,Región en Salud,Región Salud,Municipio,NOMBRE DEL PRESTADOR - ESE,Servicios,"Problema trazador priorizado",Fuentes,Responsable del diligenciamiento,"Identificación de Determinantes Sociales de la Salud										",Identificación de Determinantes Sociales de la Salud.,Categoría del determinante,Subcategoría,Determinante identificado,Descripción del hallazgo,Evidencia o fuente de información,Relación con el problema trazador,Nivel de incidencia,"Barrera identificada, marcacion multiple.",Oportunidad de mejora preliminar,Observaciones,Síntesis del análisis DSS,Determinante crítico identificado,Categoría principal asociada,Barrera más relevante,Relación con la Ruta Materna Perinatal,Oportunidad de mejora prioritaria,Insumo para Protocolo de Londres,Síntesis del análisis Ruta Materna,Motivo de canalización,Tipo de Canalización (Receptor) *,Comentarios Adicionales,Matriz de análisis de la Ruta Materno Perinatal,Número,Momento de la ruta,Atención clave,Actividad esperada,Indicador de seguimiento,Meta establecida (Ingrese la meta institucional o territorial esperada en  porcentaje),Meta alcanzada (Ingresa el resultado logrado en porcentaje),Brecha (Se calcula como meta establecida menos meta alcanzada),Semáforo,Evidencia o fuente de verificación,Cumplimiento,Brecha identificada (Describa la diferencia entre lo esperado y lo observado),Tipo de Barrera,Barrera de acceso o continuidad,Tipo de determinante,Determinante relacionado,Relación con el problema trazador,Nivel de criticidad,Oportunidad de mejora (Propongo una acción concreta para cerrar la brecha y fortalecer la ruta),Responsable sugerido,Observaciones
DSS y Ruta Materna Perinatal,,Centro Oriente Guavio,Centro Oriente Guavio,Gama,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA,Gestión de Calidad,Gestión de Calidad,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Estrés,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona sin control posevento obstétrico,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,21,Planificación familiar y anticoncepción,Entrega o aplicación de método,Garantizar acceso efectivo al método,Seguimiento post entrega del método,100%,80%,20%,Bueno,,,,Barreras Clínicas y de Calidad,Clasificación errónea o tardía del riesgo obstétrico,Determinantes Proximales (Individuales),"Antecedentes ginecoobstétricos, patologías previas y condiciones metabólicas",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Guavio,Centro Oriente Guavio,Guasca,E.S.E. HOSPITAL SAN ANTONIO DE GUATAVITA,Ginecología,Ginecología,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Condiciones de trabajo,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje auditivo o sin programación de tamizaje por EAPB (hasta 28 días),"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,22,Planificación familiar y anticoncepción,Entrega o aplicación de método,Registrar consentimiento y seguimiento,Cobertura de anticoncepción,100%,79%,21%,Bueno,,,,Barreras Clínicas y de Calidad,"Desabastecimiento de medicamentos, vacunas o insumos",Determinantes Proximales (Individuales),"Consumo de sustancias psicoactivas, tabaco, alcohol o automedicación",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Guavio,Centro Oriente Guavio,Guatavita,E.S.E. HOSPITAL SAN ANTONIO DE GUATAVITA,Hematología,Hematología,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Acceso efectivo a servicios,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje visual (hasta 28 días),"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,23,Planificación familiar y anticoncepción,Entrega o aplicación de método,Registrar consentimiento y seguimiento,Demanda insatisfecha de anticoncepción,100%,78%,22%,Bueno,,,,Barreras Clínicas y de Calidad,Insuficiencia o rotación frecuente de personal de salud capacitado,Determinantes Proximales (Individuales),"Adherencia, conocimientos y conductas individuales de autocuidado en salud",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Guavio,Centro Oriente Guavio,Junín,E.S.E POLICLINICO DE JUNIN,Hemodiálisis,Hemodiálisis,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Oportunidad de atención,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje para cardiopatía congénita (pulsioximetría) hasta 28 días,"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Entrega o aplicación de método,Registrar consentimiento y seguimiento,Seguimiento post entrega del método,100%,77%,23%,Bueno,,,,Barreras Clínicas y de Calidad,Inadherencia a las guías de práctica clínica de la ruta,Determinantes Proximales (Individuales),"Exposición a violencia de pareja, violencia intrafamiliar o violencia sexual",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Guavio,Centro Oriente Guavio,La Calera,E.S.E. HOSPITAL DIVINO SALVADOR DE SOPO,Hemodinamia,Hemodinamia,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Continuidad del cuidado,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido con desplome nutricional o ganancia inadecuada de peso (hasta 28 días),"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Valorar intención reproductiva,Cobertura de anticoncepción,100%,76%,24%,Bueno,,,,Barreras Clínicas y de Calidad,Infraestructura y equipamiento médico insuficiente,Determinantes Proximales (Individuales),"Estado de salud mental, estrés crónico, depresión o ansiedad",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Guavio,Centro Oriente Guavio,Sopó,E.S.E. HOSPITAL DIVINO SALVADOR DE SOPO,Hospitalización,Hospitalización,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes intermedios,Otros,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido con sintomatología respiratoria (hasta 28 días),"

1. Canalizaciones entre entornos de vida cotidiana
",,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Valorar intención reproductiva,Demanda insatisfecha de anticoncepción,100%,75%,25%,Bueno,,,,Barreras Clínicas y de Calidad,Retrasos en el diagnóstico o en la remisión oportuna,Determinantes Proximales (Individuales),"Planificación, intención y deseabilidad del embarazo",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Guavio,Centro Oriente Guavio,Tocancipá,CARE & HEALTH S.A.S,Imágenes Diagnósticas,Imágenes Diagnósticas,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Estilos de vida,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Gestante sin control prenatal o no adherente a controles.,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Valorar intención reproductiva,Seguimiento post entrega del método,100%,74%,26%,Bueno,,,,Barreras de Continuidad y Coordinación,Fallas en el sistema de referencia y contrarreferencia,No Identificados / No Clasificados,"Factores idiopáticos, genéticos raros o eventos de causa biológica desconocida",,,,,
DSS y Ruta Materna Perinatal,,Centro Oriente Guavio,Centro Oriente Guavio,Ubalá,E.S.E. HOSPITAL SAN FRANCISCO DE GACHETA,Laboratorio Clínico,Laboratorio Clínico,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Factores individuales,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante o post evento obstétrico con diagnóstico de VIH sin inclusión en el programa,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Informar opciones y signos de alarma,Cobertura de anticoncepción,100%,73%,27%,Bueno,,,,Barreras de Continuidad y Coordinación,Inexistencia o falta de interoperabilidad de la historia clínica,No Identificados / No Clasificados,"Ausencia de registro, subregistro o falta de información en la historia clínica",,,,,
DSS y Ruta Materna Perinatal,,Medina,Medina,Medina,E.S.E. REGION DE SALUD MEDINA,Medicina Física y Rehabilitación,Medicina Física y Rehabilitación,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Asistencia a controles prenatales,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante con diagnóstico de sífilis sin tratamiento y/o sin seguimiento serológico,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Informar opciones y signos de alarma,Demanda insatisfecha de anticoncepción,100%,72%,28%,Bueno,,,,Barreras de Continuidad y Coordinación,"Pérdida de seguimiento entre el control prenatal, el parto y el posparto",No Identificados / No Clasificados,"Eventos fortuitos, impredecibles o de causa no documentada en el seguimiento",,,,,
DSS y Ruta Materna Perinatal,,Medina,Medina,Paratebueno,E.S.E. REGION DE SALUD MEDINA,Medicina Interna,Medicina Interna,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Reconocimiento de signos de alarma,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Gestante en quien se confirmó o se sospechó ETV,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Informar opciones y signos de alarma,Seguimiento post entrega del método,100%,71%,29%,Bueno,,,,Barreras de Continuidad y Coordinación,Desarticulación entre el cuidado materno y el cuidado neonatal,No Identificados / No Clasificados,Vacíos en la caracterización sociodemográfica de la gestante,,,,,
DSS y Ruta Materna Perinatal,,Medina,Medina,Ubalá,E.S.E. REGION DE SALUD MEDINA,Medicina Nuclear,Medicina Nuclear,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Adherencia a indicaciones,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante sin consulta odontológica,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Garantizar acceso efectivo al método,Cobertura de anticoncepción,100%,70%,30%,Bueno,,,,Barreras de Continuidad y Coordinación,Falta de integración entre acciones comunitarias y servicios asistenciales,,,,,,,
DSS y Ruta Materna Perinatal,,Noroccidente,Noroccidente,La Peña,E.S.E. HOSPITAL SALAZAR VILLETA,Medicina Preventiva,Medicina Preventiva,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Prácticas de autocuidado,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante con morbilidades crónicas,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Garantizar acceso efectivo al método,Demanda insatisfecha de anticoncepción,100%,69%,31%,Regular,,,,Barreras de Continuidad y Coordinación,Inexistencia de búsqueda activa de gestantes inasistentes,,,,,,,
DSS y Ruta Materna Perinatal,,Noroccidente,Noroccidente,La Vega,E.S.E. HOSPITAL DE LA VEGA,Medicina Transfusional,Medicina Transfusional,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Búsqueda oportuna de atención,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante o con sospecha de embarazo y deseo de Interrupción Voluntaria del Embarazo,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Garantizar acceso efectivo al método,Seguimiento post entrega del método,100%,68%,32%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Noroccidente,Noroccidente,Nimaima,E.S.E. CENTRO DE SALUD SAN JOSE DE NIMAIMA,Nefrología,Nefrología,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Antecedentes clínicos,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona en puerperio o post aborto sin método anticonceptivo,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Registrar consentimiento y seguimiento,Cobertura de anticoncepción,100%,67%,33%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Noroccidente,Noroccidente,Nocaima,E.S.E. HOSPITAL DE LA VEGA,Neonatología,Neonatología,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Edad gestacional,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Neonato sin consulta de control del recién nacido,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Registrar consentimiento y seguimiento,Demanda insatisfecha de anticoncepción,100%,66%,34%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Noroccidente,Noroccidente,Quebradanegra,E.S.E. HOSPITAL SALAZAR VILLETA,Neumología,Neumología,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Comorbilidades,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Menor de un año con antecedentes de bajo peso al nacer sin control (2500 Gr),2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Planificación familiar y anticoncepción,Seguimiento del método,Registrar consentimiento y seguimiento,Seguimiento post entrega del método,100%,65%,35%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Noroccidente,Noroccidente,San Francisco,E.S.E. CENTRO DE SALUD SAN FRANCISCO DE SALES,Neurocirugía,Neurocirugía,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Estado nutricional,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Menor de un año con antecedentes de prematuridad (menor de 37 semanas) sin control en programa madre canguro,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Aplicar clasificación de riesgo,Riesgo obstétrico clasificado,100%,64%,36%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Noroccidente,Noroccidente,Sasaima,E.S.E. HOSPITAL HILARIO LUGO DE SASAIMA,Neurología,Neurología,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Consumo de sustancias,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Menor de un año con diagnóstico de malformaciones congénitas mayores sin seguimiento,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Aplicar clasificación de riesgo,Gestantes de alto riesgo con seguimiento,100%,63%,37%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Noroccidente,Noroccidente,Útica,E.S.E. HOSPITAL SALAZAR VILLETA,Nutrición y Dietética,Nutrición y Dietética,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Cuidado del recién nacido,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Neonato sin seguimiento al resultado de TSH neonatal (hipotiroidismo),2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Aplicar clasificación de riesgo,Remisiones efectivas,100%,62%,38%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Noroccidente,Noroccidente,Vergara,E.S.E. HOSPITAL SANTA BARBARA DE VERGARA,Obstetricia,Obstetricia,,,"Identificación de Determinantes Sociales de la Salud										",,Determinantes proximales,Otros,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante sin esquema de vacunación adecuado para la edad gestacional,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Documentar riesgo y plan,Riesgo obstétrico clasificado,100%,61%,39%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Noroccidente,Noroccidente,Villeta,E.S.E. HOSPITAL SALAZAR VILLETA,Odontología Hospitalaria,Odontología Hospitalaria,,,"Identificación de Determinantes Sociales de la Salud										",,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante con antecedente de signos o síntomas de alarma para seguimiento por la EAPB.,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Documentar riesgo y plan,Gestantes de alto riesgo con seguimiento,100%,60%,40%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Nororiente,Nororiente,Carmen De Carupa,ESE HOSPITAL HABACUC CALDERON DE CARMEN DE CARUPA,Oftalmología,Oftalmología,,,"Identificación de Determinantes Sociales de la Salud										",,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante no valorada por nutricionista o con alteración nutricional,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Documentar riesgo y plan,Remisiones efectivas,100%,59%,41%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Nororiente,Nororiente,Cucunubá,E.S.E. CENTRO DE SALUD CUCUNUBA,Oncología Clínica,Oncología Clínica,,,"Identificación de Determinantes Sociales de la Salud										",,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante o en post parto que identifica una situación emocional que en ese momento afecta su vida,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Activar ruta de referencia,Riesgo obstétrico clasificado,100%,58%,42%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Nororiente,Nororiente,Fúquene,E.S.E. HOSPITAL EL SALVADOR DE UBATE,Ortopedia y Traumatología,Ortopedia y Traumatología,,,"Identificación de Determinantes Sociales de la Salud										",,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Mujer con intención reproductiva sin consulta preconcepcional,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Activar ruta de referencia,Gestantes de alto riesgo con seguimiento,100%,57%,43%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Nororiente,Nororiente,Guachetá,ESE HOSPITAL SAN JOSE DE GUACHETA,Otorrinolaringología,Otorrinolaringología,,,"Identificación de Determinantes Sociales de la Salud										",,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante sin tamizar para cáncer de cuello uterino (hasta semana 22),2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Activar ruta de referencia,Remisiones efectivas,100%,56%,44%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Nororiente,Nororiente,Lenguazaque,E.S.E. HOSPITAL EL SALVADOR DE UBATE,Patología,Patología,,,"Identificación de Determinantes Sociales de la Salud										",,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona gestante con alto riesgo de evento trombótico sin medidas profilácticas,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Hacer seguimiento a citas y resultados,Riesgo obstétrico clasificado,100%,55%,45%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Nororiente,Nororiente,Simijaca,E.S.E. HOSPITAL EL SALVADOR DE UBATE,Pediatría,Pediatría,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Persona sin control posevento obstétrico,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Hacer seguimiento a citas y resultados,Gestantes de alto riesgo con seguimiento,100%,54%,46%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Nororiente,Nororiente,Susa,E.S.E. HOSPITAL EL SALVADOR DE UBATE,Psicología,Psicología,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje auditivo o sin programación de tamizaje por EAPB (hasta 28 días),2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Clasificación del riesgo obstétrico,Hacer seguimiento a citas y resultados,Remisiones efectivas,100%,53%,47%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Nororiente,Nororiente,Sutatausa,E.S.E. HOSPITAL EL SALVADOR DE UBATE,Psiquiatría,Psiquiatría,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje visual (hasta 28 días),2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Seguimiento a gestante de alto riesgo,Aplicar clasificación de riesgo,Riesgo obstétrico clasificado,100%,52%,48%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Nororiente,Nororiente,Tausa,E.S.E. E.S.E. CENTRO DE SALUD DE TAUSA,Quimioterapia,Quimioterapia,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido sin tamizaje para cardiopatía congénita (pulsioximetría) hasta 28 días,2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Seguimiento a gestante de alto riesgo,Aplicar clasificación de riesgo,Gestantes de alto riesgo con seguimiento,100%,51%,49%,Regular,,,,,,,,,,,,
DSS y Ruta Materna Perinatal,,Nororiente,Nororiente,Villa De San Diego De Ubate,E.S.E. HOSPITAL EL SALVADOR DE UBATE,Quirófanos,Quirófanos,,,,,,,,,,,,,,,,,,,,,,Síntesis del análisis Ruta Materna,Recién nacido con desplome nutricional o ganancia inadecuada de peso (hasta 28 días),2. Canalizaciones a EAPB autorizadas para operar en Cundinamarca,,Matriz de análisis de la Ruta Materno Perinatal,,Clasificación y seguimiento del riesgo obstétrico,Seguimiento a gestante de alto riesgo,Aplicar clasificación de riesgo,Remisiones efectivas,100%,50%,50%,Regular,,,,,,,,,,,,
